nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,Teatro Chocita del Loro - Carabanchel,8.9,5208.0,teatro,4.5,1440.0,"(40.3875982, -3.7436175)"
Ladys Night en Beer Station,show,11.0,70.0,Beer Station,9.4,89.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Los Monólogos de El Golfo Comedy Club en Madrid,cuenta_local,5.0,95.0,El Golfo Comedy Club,8.9,1656.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
El Dojo Comedia,open_mic,8.0,70.0,El Golfo Comedy Club,9.6,150.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Chic  Comedy - Monólogos,open_mic,3.5,80.0,Estupenda Bar,9.0,194.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
Noches de Comedia - Monólogos en Madrid,cuenta_local,6.0,75.0,El Sombrerero Comedy Club,9.5,901.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
Los Monólogos del Teatro de las Aguas,cuenta_local,5.0,60.0,Teatro de las Aguas,9.5,885.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Punch Comedy English.- Stand up Comedy in English,open_mic,7.0,90.0,El Golfo Comedy Club,9.3,26.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Comedy Rally,open_mic,7.0,90.0,Estación Malasaña,9.1,73.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
"Comedy Nights, monólogos en Beer Station",cuenta_local,8.0,80.0,Beer Station,9.0,778.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Probando material,open_mic,7.0,95.0,El Golfo Comedy Club,8.3,12.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Stand Up en el momento,open_mic,5.0,70.0,El Golfo Comedy Club,9.2,9.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Jaja Party - Presentado por Javi Durán,open_mic,8.0,60.0,Beer Station,8.5,6.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
La Hora y Media de El Club de la Comedia Madrid,show,22.0,90.0,Teatro Príncipe Gran Vía,8.7,3930.0,teatro,4.2,2601.0,"(40.4195185, -3.7026612)"
"No cruces los brazos, David Cepo",show,17.0,75.0,Teatro Arlequín Gran Vía,9.6,153.0,teatro,4.2,5264.0,"(40.4211706, -3.7082023)"
"Esto no es un show, con Galder Varas en Madrid",show,16.0,100.0,Teatro Alcázar,9.7,365.0,teatro,4.3,6730.0,"(40.41762175, -3.6989692917634684)"
"Buenrollistas - Víctor Parrado, en Madrid",show,14.0,100.0,Cinesa Fuencarral,9.7,554.0,cine,4.2,6918.0,"(40.4315549, -3.7029393365099326)"
Intermitente - Carlos Martínez,show,7.9,60.0,Abonavida,9.8,68.0,bar,4.3,1274.0,"(40.4191439, -3.7065685)"
"Aguántame el cubata, que me da la risa - Juan Aroca",show,12.0,65.0,Teatro de las Aguas,9.5,807.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Oye Siri. Dime Joan,show,12.0,65.0,Teatro de las Aguas,9.5,107.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Solo para Parejas - Los mejores monólogos de Madrid,show,13.0,60.0,Estación Malasaña,9.9,1204.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Los Monólogos de Estupenda Café Bar,cuenta_local,2.4,80.0,Estupenda Bar,9.0,214.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
Ultrashow - Miguel Noguera en Madrid,show,14.9,75.0,Teatros Luchana,9.0,154.0,teatro,4.5,3371.0,"(40.4318686, -3.6982529)"
"Karim - Sólo para adultos, en Madrid",show,14.9,70.0,Teatros Luchana,9.4,1370.0,teatro,4.5,3371.0,"(40.4318686, -3.6982529)"
"Hij@s, el club de los malos padres",show,14.9,75.0,Teatros Luchana,9.4,878.0,teatro,4.5,3371.0,"(40.4318686, -3.6982529)"
Lago - Comedy Club,show,21.0,60.0,Teatro Alcázar,9.2,126.0,teatro,4.3,6730.0,"(40.41762175, -3.6989692917634684)"
Imbécil - Alex ODogherty,show,16.0,60.0,Teatro Capitol Gran Vía,9.4,540.0,teatro,4.2,4902.0,"(40.4683282, -3.8707172)"
"Miss Tupper Sex, en Madrid",show,18.0,90.0,Pequeño Teatro Gran Vía de Madrid,9.2,1209.0,teatro,4.5,1975.0,"(40.4683282, -3.8707172)"
Los 30 son los nuevos. ¡Vete a la mierda!,show,12.0,90.0,The Mun,9.6,154.0,espacios variados,4.9,31.0,"(40.3973457, -3.6938624)"
El Micro de las Aguas. Open Mic,open_mic,10.0,75.0,Teatro de las Aguas,10.0,18.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Asaari Bibang. Humor Negra.,show,11.0,70.0,El Golfo Comedy Club,9.8,100.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",show,20.0,70.0,Gran teatro Caixabank Príncipe Pío,9.0,3365.0,teatro,4.4,8021.0,"(40.4208539, -3.7187511)"
Hardcore - Patricia Galván,show,13.0,75.0,Beer Station,9.7,125.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0,teatro,4.4,982.0,"(40.4539019, -3.6933714)"
Arde Murcia,show,10.0,75.0,Abonavida,9.8,50.0,bar,4.3,1274.0,"(40.4191439, -3.7065685)"
Arde Murcia,show,10.0,60.0,Clandestino Café Teatro,9.9,35.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Es mi palabra contra la mía - Luís Piedrahita,show,15.2,90.0,Teatro Reina Victoria,9.4,1114.0,teatro,4.3,5892.0,"(40.4165342, -3.699792)"
"Dani Alés - Tabú, un monólogo inadecuado",show,14.0,70.0,Beer Station,9.5,107.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"Tinder Sorpresa - Andreu Casanova, en Madrid",show,16.0,90.0,Cine Palacio de la Prensa,9.1,1822.0,cine,4.1,2503.0,"(40.4200282, -3.7054691)"
La España Vaciada,show,14.0,90.0,Cinesa Fuencarral,9.9,14.0,cine,4.2,6918.0,"(40.4315549, -3.7029393365099326)"
"Stand Up Comedy, In English",show,10.0,75.0,Teatro de las Aguas,9.7,118.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Comedia Subterránea. Open Mic,open_mic,7.0,60.0,Teatro de las Aguas,9.8,24.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Álex Clavero - La Nueva Normalidad,show,16.0,60.0,Teatro Capitol Gran Vía,9.7,170.0,teatro,4.2,4902.0,"(40.4683282, -3.8707172)"
Alex Salaberri. Qué le pasa doctor.,show,11.0,70.0,El Golfo Comedy Club,9.9,117.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Diego Arjona - ¡Aquí no hay playa!,show,12.0,70.0,Beer Station,9.7,69.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"Carlos Librado, NENE",show,11.0,95.0,El Golfo Comedy Club,9.8,20.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
"La Cueva Comedy  Club, Open Mic!!!",open_mic,6.0,60.0,Teatro de las Aguas,9.1,312.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Open Beer - Open Mic de stand-up comedy,open_mic,8.0,70.0,Beer Station,9.4,133.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"YO NUNCA SHOW,  de Raúl Massana",show,10.0,60.0,Beer Station,9.5,147.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Javi Durán - Fracashow en Beer Station,show,14.0,60.0,Beer Station,9.2,136.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Un Monólogo de Puta Madre - Juan Morales,show,10.0,60.0,Teatro de las Aguas,9.6,77.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Predicadores de la impro,show,10.0,70.0,Teatro de las Aguas,9.8,310.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Laura del Val- De Burgos también se sale,show,11.0,70.0,El Golfo Comedy Club,9.7,75.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
"Alicia Lobo - Hola, no me líes",show,9.6,70.0,Cinesa Fuencarral,10.0,20.0,cine,4.2,6918.0,"(40.4315549, -3.7029393365099326)"
Mangos y Papayas: Ivan Perlaza & Javi Bueno,show,10.0,70.0,El Sombrerero Comedy Club,9.8,43.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
Goloso de Micro.,show,10.0,120.0,El Golfo Comedy Club,9.1,125.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Yo maté al Rey León - Dani Delacámara,show,10.0,90.0,Cinesa Fuencarral,9.5,359.0,cine,4.2,6918.0,"(40.4315549, -3.7029393365099326)"
Alex Gozalo. Tiempos confusos.,show,12.0,70.0,El Golfo Comedy Club,9.5,23.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
De Albacete al fin del mundo - Rubén Faura,show,8.0,60.0,Estación Malasaña,9.7,275.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Manu Partida. Gafe.,show,12.0,70.0,El Golfo Comedy Club,9.8,44.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Rita Rojo.- ¡¿A quién no le va a gustar?!,show,11.0,70.0,El Golfo Comedy Club,9.9,24.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
"Isabel Rey - Diva de barrio, un show de comedia",show,10.0,60.0,Beer Station,9.8,28.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Fran Pati: Moder-No,show,11.0,70.0,El Golfo Comedy Club,9.7,112.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
"Nene, ¡Que me jodan! , un monólogo muy jodido",show,12.0,70.0,Beer Station,9.3,32.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Felipe Mateos. El odio viene en frascos pequeños.,show,11.0,70.0,El Golfo Comedy Club,9.7,52.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Tiquismiquis - Mikel Bermejo,show,15.0,60.0,Teatro Arlequín Gran Vía,9.6,199.0,teatro,4.2,5264.0,"(40.4211706, -3.7082023)"
Pedro Ángel Roca.- Arde Murcia,show,11.0,70.0,El Golfo Comedy Club,9.9,34.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Monólogos de humor - Chocita del Loro Gran vía,cuenta_local,15.0,90.0,Teatro Chocita del Loro - Gran Vía,8.8,14386.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
"No es fácil ser fácil, de Silvia De Frente",show,12.0,70.0,El Golfo Comedy Club,9.8,74.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Un mancheguico por Madrid. Marce González,show,10.0,60.0,Teatro de las Aguas,9.6,72.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Ilusión. Javier Del Mar,show,10.0,60.0,Teatro de las Aguas,9.1,20.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,show,11.0,60.0,Beer Station,9.6,29.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Coria Castillo con Nací princesa porque zorras sobraban,show,14.0,75.0,Beer Station,9.5,414.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Luis Álvaro - El espectáculo,show,12.0,75.0,Beer Station,9.0,186.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Impro-Monologos,show,8.0,60.0,Clandestino Café Teatro,9.6,20.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Mangos y Papayas - Gran Vía,show,8.5,75.0,Cervecería Valverde Comedy Club,9.8,81.0,club de comedia,4.0,1085.0,"(40.4207044, -3.7021596)"
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0,El Golfo Comedy Club,9.6,31.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,open_mic,8.0,80.0,Beer Station,9.4,49.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Poco se habla de Sexo - Madrid,show,8.0,70.0,El Sombrerero Comedy Club,9.9,21.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
"No soy yo, eres tú David Carrascosa",show,10.0,65.0,Collage Burlesque,9.9,170.0,bar,4.6,56.0,"(40.42912525, -3.698373844811268)"
Open Open Mic. El micro abierto más abierto.,open_mic,3.0,70.0,El Golfo Comedy Club,9.3,79.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Diego Arjona - Me veo en Wallapop,show,12.0,60.0,Sala Houdini,10.0,23.0,espacios variados,4.8,2869.0,"(40.4461751, -3.6751527)"
Vermut Rojo Open Mic,open_mic,3.0,50.0,Tropicana Beach Club Madrid,9.4,78.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Albert Boira.- Que nos pille viviendo,show,12.0,70.0,El Golfo Comedy Club,9.5,28.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Fango - Rober Bodegas,show,18.0,60.0,Pequeño Teatro Gran Vía de Madrid,9.5,355.0,teatro,4.5,1975.0,"(40.4683282, -3.8707172)"
"Borderline, Nico Lozano",show,10.0,60.0,Teatro de las Aguas,9.1,50.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Mangos y Papayas: Javi Bueno & Iván Perlaza,show,9.0,70.0,MadBeerHall,9.8,37.0,,,,
"Malasañero para principantes, de Manu Kas",show,10.0,50.0,Teatro de las Aguas,8.8,151.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Super Duper. Mario Velasco,show,10.0,60.0,Teatro de las Aguas,9.4,30.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Open Magic,open_mic,8.0,90.0,La Cripta Mágica,9.6,47.0,teatro,4.8,1033.0,"(40.40175815, -3.6967764379116157)"
Sparks- El show de humor negro - Silvia Sparks,show,12.0,70.0,Beer Station,9.4,62.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Paula Púa.- Traca. Un monólogo de una hija única.,show,11.0,70.0,El Golfo Comedy Club,9.5,19.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
No Disparen al Cómico - Manu Chacón,show,10.0,70.0,Abonavida,9.8,201.0,bar,4.3,1274.0,"(40.4191439, -3.7065685)"
"Femininity, un show de Patri Muñoz",show,11.0,70.0,El Golfo Comedy Club,9.2,37.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Diego Daño. Viviendo para Instagram,show,11.0,70.0,El Golfo Comedy Club,9.1,295.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Juan Moreno presenta ¡Embustero!,show,10.0,70.0,MadBeerHall,9.4,43.0,,,,
Kalderas - Stand Up Comedy,show,11.0,60.0,Beer Station,9.3,60.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Alberto Sierra. De profesión: gafas.,show,11.0,70.0,El Golfo Comedy Club,9.4,15.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Ruta 66 Open Mic,open_mic,3.0,75.0,Tropicana Beach Club Madrid,9.4,33.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Sinacio presenta Toca Reír,show,12.0,90.0,Beer Station,9.0,12.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Vero Berenguer y Sandra U.- Enfermizas,show,11.0,70.0,El Golfo Comedy Club,9.2,16.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
La Factoría de la Comedia - Openmic,open_mic,6.0,75.0,El Sombrerero Comedy Club,9.4,120.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
"Comedia Sin Miedo Open Mic , monologo de standup comedy",open_mic,2.5,70.0,Estación Malasaña,9.6,64.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Lgtb Comedy Jam,show,5.0,90.0,Intruso Bar,9.4,155.0,bar,4.3,1999.0,"(40.4230161, -3.7001672)"
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,podcast,8.0,70.0,Beer Station,9.3,23.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Malhablado - Un show de Raúl Fervé,show,10.0,70.0,Beer Station,9.2,29.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"Nacho García: Estoy mayor, en Madrid",show,10.0,80.0,Cine Palacio de la Prensa,9.1,1138.0,cine,4.1,2503.0,"(40.4200282, -3.7054691)"
"Open Mic, La Trinchera",open_mic,5.0,75.0,Tropicana Beach Club Madrid,9.3,14.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,show,12.0,80.0,Teatro Bellas Artes,9.5,214.0,teatro,4.2,2870.0,"(40.4181727, -3.6963263)"
